               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  55,            0.036748,            0.029962,            0.020994,             0.75295,             0.68143,               0.843,             0.50097,             0.03734,            0.022969,            0.020032,            0.006436,            0.006436,            0.006436
                  56,            0.035874,            0.027255,             0.02079,             0.59271,             0.97467,             0.87595,             0.59346,            0.033116,            0.022134,            0.019747,             0.00637,             0.00637,             0.00637
                  57,            0.034397,            0.024322,            0.019727,             0.51395,             0.91417,               0.871,              0.5937,            0.038267,            0.022917,            0.019329,            0.006304,            0.006304,            0.006304
                  58,            0.038562,            0.029442,             0.01957,             0.83196,             0.97358,             0.89957,             0.64132,            0.029449,            0.021857,            0.019158,            0.006238,            0.006238,            0.006238
                  59,            0.036847,            0.028089,            0.019813,             0.61094,             0.97567,             0.85154,               0.628,            0.034017,            0.022057,            0.018874,            0.006172,            0.006172,            0.006172
                  60,            0.035188,            0.027771,            0.019825,             0.60365,             0.97502,             0.87953,             0.46597,            0.036908,            0.022927,            0.018561,            0.006106,            0.006106,            0.006106
                  61,            0.035881,            0.028959,            0.019099,             0.73822,             0.97963,             0.89658,             0.64581,            0.035217,            0.021702,             0.01826,             0.00604,             0.00604,             0.00604
                  62,            0.038144,            0.029728,            0.018778,             0.75179,             0.97937,              0.8931,             0.64438,            0.029179,            0.021259,             0.01812,            0.005974,            0.005974,            0.005974
                  63,            0.037058,              0.0272,            0.018938,             0.56874,             0.92523,             0.84448,             0.47929,            0.036423,            0.022973,            0.017826,            0.005908,            0.005908,            0.005908
                  64,            0.034832,            0.027545,            0.017718,             0.80209,             0.98262,             0.89028,             0.69963,            0.031887,            0.021428,            0.017534,            0.005842,            0.005842,            0.005842
                  65,            0.033045,            0.026161,            0.018067,             0.46925,             0.92965,             0.84516,             0.49326,            0.032005,            0.021522,             0.01719,            0.005776,            0.005776,            0.005776
                  66,             0.03619,            0.028812,            0.017869,             0.72431,             0.98216,             0.89316,             0.59123,            0.028323,            0.020684,             0.01714,             0.00571,             0.00571,             0.00571
                  67,            0.035519,            0.025789,            0.017535,             0.59796,             0.98525,              0.8777,             0.60534,            0.037028,            0.021448,            0.016954,            0.005644,            0.005644,            0.005644
                  68,            0.032314,            0.025704,            0.018355,             0.64247,             0.98474,             0.88676,             0.54393,            0.032711,             0.02068,            0.016771,            0.005578,            0.005578,            0.005578
                  69,            0.032922,            0.026575,            0.017493,             0.83966,             0.98577,             0.90095,             0.67759,            0.030141,            0.020525,             0.01667,            0.005512,            0.005512,            0.005512
